commentid,contents,point,username,profile,profileStatus,photoCnt,likeCnt,kakaoMapUserId,photoList,ownerReply,strengths,userCommentCount,userCommentAverageScore,myStorePick,level,date,isMy,isBlock,isEditable,isMyLike,thumbnail,booking
10762325,맛은있는데 너무 많아서 쌀국수랑 싸우는기분...,3,윤희서,http://k.kakaocdn.net/dn/FxSNJ/btsEaVFhpcV/huyiZhzPgDpps3YcVIrmJK/img_640x640.jpg,S,0,0,449067827,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}]",14,4.1,False,"{'nowLevel': 12, 'badge': '02'}",2024.08.13.,False,False,False,False,,
10747420,푸짐하게 먹을 수 있어요,4,성북구토박이,,S,1,0,2335071662,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/2e21b72c5f325b243f29621d7a2949fc18c1518b?original', 'near': False}]",{},,15,4.0,False,"{'nowLevel': 17, 'badge': '02'}",2024.08.11.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/2e21b72c5f325b243f29621d7a2949fc18c1518b?original,
10745082,예전의 감동은 없는 듯함.. 웨이팅할 정도의 맛은 아니지만 지나가다 생각나서 먹을정도의 맛집.. ,3,hanB,http://t1.daumcdn.net/local/kakaomapPhoto/profile/784cb9eb05b37a10f939a67e52edf00c13e09669?original,S,1,0,1095501076,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/866fa34fbfb4d3121ff7b9318fb1325f67c92389?original', 'near': False}]",{},"[{'id': 1, 'name': '가성비'}]",45,3.9,False,"{'nowLevel': 18, 'badge': '02'}",2024.08.10.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/866fa34fbfb4d3121ff7b9318fb1325f67c92389?original,
10741648,"맛있고 또 맛있어요
강추입니다",5,굳,http://t1.daumcdn.net/local/kakaomapPhoto/profile/f0b6e8008d54d953e378b647d53ffccfcb2e78bf?original,S,0,0,3456757976,[],{},"[{'id': 5, 'name': '맛'}]",27,4.6,False,"{'nowLevel': 34, 'badge': '03'}",2024.08.10.,False,False,False,False,,
10727298,,5,찐빵잉,,S,0,0,1909018921,[],{},,5,5.0,False,"{'nowLevel': 2, 'badge': '01'}",2024.08.08.,False,False,False,False,,
10726425,주차가 극악이지만 너무너무너무 맛있었고 나중에 또 오고싶어요!! 진짜 맛있음 면이 너무 맘에들어요ㅠㅠ 건더기도 레전드,5,그레이시월드,http://t1.daumcdn.net/local/kakaomapPhoto/profile/c5ebb6f989b660ceeced316b61f27e4dbaa75720?original,S,2,0,259920656,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/1cd9714479a76b5dc9f431e795a1b4bca1d9a3aa?original', 'near': True}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/5560f9d2a28016849ec51577635f596bc3b083f4?original', 'near': True}]",{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 2, 'name': '친절'}, {'id': 3, 'name': '분위기'}]",24,5.0,False,"{'nowLevel': 14, 'badge': '02'}",2024.08.08.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/1cd9714479a76b5dc9f431e795a1b4bca1d9a3aa?original,
10674126,,5,Go exito.송병찬,http://th-p.talk.kakao.co.kr/th/talkp/wkM75KE85R/KEvVU8gMCqbohV1cgBSCk1/9vqpvz.jpg,S,0,0,892142388,[],{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}, {'id': 3, 'name': '분위기'}]",7,4.6,False,"{'nowLevel': 3, 'badge': '01'}",2024.08.01.,False,False,False,False,,
10617262,솔직히 기대한만큼 맛있진 않아요 한번으로 만족,4,유자,http://t1.daumcdn.net/local/kakaomapPhoto/profile/6224aa5691ac270d97ec1793a2383f9ec3e038ec?original,S,2,0,1718724975,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/14dc106d051051caa2203c0ca6c263967d577c93?original', 'near': True}, {'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/7ca1fb48c3c2d920421d058cff4d2ba6a26fe6c8?original', 'near': True}]",{},,31,4.3,False,"{'nowLevel': 22, 'badge': '02'}",2024.07.24.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/14dc106d051051caa2203c0ca6c263967d577c93?original,
10600710,"매운우삼겹 1단계
푸짐하고 얼큰해서 맛있더군요!",5,장난없는 리뷰,http://t1.daumcdn.net/local/kakaomapPhoto/profile/426321db389c4a6ff4aaedbf75836b825c874318?original,S,1,0,1001782494,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/c0a0d7f2ae7d63c4a0a8bca7c0183f9554bdf053?original', 'near': True}]",{},"[{'id': 5, 'name': '맛'}, {'id': 2, 'name': '친절'}, {'id': 3, 'name': '분위기'}]",356,2.1,False,"{'nowLevel': 51, 'badge': '03'}",2024.07.22.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/c0a0d7f2ae7d63c4a0a8bca7c0183f9554bdf053?original,
10179964,"친절하긴한데 그게 다입니다
맛은 정말...🤯🤯 다른 지점에서 먹고 여기갔다가 후회했습니다",1,oi,http://t1.daumcdn.net/local/kakaomapPhoto/profile/155e4f7da9ec73bac7dca9dec5e2cdef968ec555?original,S,0,2,1516904689,[],{},,48,2.2,False,"{'nowLevel': 25, 'badge': '02'}",2024.07.16.,False,False,False,False,,
10524376,추억의 곱창쌀국수 맛집,4,jmom,http://t1.daumcdn.net/local/kakaomapPhoto/profile/250fd98e20c079b0d27a0a63d606b55d9c03b204?original,S,0,0,2069624590,[],{},,23,3.8,False,"{'nowLevel': 11, 'badge': '02'}",2024.07.11.,False,False,False,False,,
10507791,"평일11시30분쯤 가면 대기는 없고 11시50분쯤부터   대기줄 생김. 다른데도 많은데, 굳이 여기서 줄서서 먹을 정도는 전혀 아님. 방송나왔다고 무조건 줄서는 무뇌인간들도 있는것 같음.",1,a,http://t1.daumcdn.net/local/kakaomapPhoto/profile/92bcb3da70c153c54b604fd93f20707a81a488d17dc5aeb820b4a5d167096b09,S,0,0,1571391214,[],{},,63,1.1,False,"{'nowLevel': 23, 'badge': '02'}",2024.07.10.,False,False,False,False,,
10502701,쌀국수 고기가 진짜 많고 국물이 맛있어요 저거 시키면 불쑈도 보여쥬심,5,춘배더냥이,http://t1.daumcdn.net/local/kakaomapPhoto/profile/ad26fd2c0703d650487e286fc2b4258fbb34d5f1?original,S,1,0,1282045524,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/f5248f8cf6ae16199128e920b70770b8e7eae21b?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}, {'id': 1, 'name': '가성비'}]",229,4.6,False,"{'nowLevel': 41, 'badge': '03'}",2024.07.07.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/f5248f8cf6ae16199128e920b70770b8e7eae21b?original,
10485285,"양도 괜찮고 무엇보다 서비스가 와닿았던 곳 😇💗
가격은 프리미엄 이름값을 하지만
맛이 쌍프리미엄이라 만족👍",5,J,http://th-p.talk.kakao.co.kr/th/talkp/wkSah0ODjI/BG9UkI4bsUx7aRdVLp18AK/j6gy5s.jpg,S,1,0,901505791,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/6193b5c378a1ca96f6c235115da9a80384a80e89?original', 'near': False}]",{},"[{'id': 5, 'name': '맛'}, {'id': 2, 'name': '친절'}]",5,3.8,False,"{'nowLevel': 8, 'badge': '01'}",2024.07.05.,False,False,False,False,http://t1.daumcdn.net/local/kakaomapPhoto/review/6193b5c378a1ca96f6c235115da9a80384a80e89?original,
